Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Egypt, Arab Rep.",EGY,43.478,42.797,43.019,43,42.946,42.893,42.839,42.785,42.732,42.705,42.704,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,El Salvador,SLV,49.274,58.912,65.452,66.325,67.187,68.036,68.874,69.7,70.501,71.275,72.023,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Equatorial Guinea,GNQ,34.745,49.092,65.94,67.488,69,69.544,70.083,70.616,71.138,71.646,72.143,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Eritrea,ERI,18.905,26.587,35.175,35.771,..,..,..,..,..,..,..,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Estonia,EST,71.231,69.368,68.094,67.965,67.974,68.122,68.269,68.416,68.563,68.717,68.88,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Eswatini,SWZ,20.202,22.686,22.48,22.7,22.849,22.999,23.149,23.3,23.459,23.625,23.799,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ethiopia,ETH,12.621,14.74,17.319,17.735,18.16,18.575,18.998,19.428,19.866,20.31,20.763,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Faroe Islands,FRO,30.594,36.337,40.926,41.088,41.225,41.363,41.501,41.638,41.777,41.914,42.064,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Fiji,FJI,41.611,47.908,52.171,52.683,53.196,53.706,54.216,54.726,55.235,55.742,56.248,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Finland,FIN,79.367,82.183,83.77,84.313,84.841,85.125,85.175,85.225,85.275,85.325,85.382,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,France,FRA,74.056,75.871,78.369,78.622,78.878,79.135,79.394,79.655,79.917,80.18,80.444,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,French Polynesia,PYF,57.852,56.047,60.317,60.889,61.459,61.583,61.633,61.683,61.734,61.784,61.834,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Gabon,GAB,69.143,78.879,85.533,86.092,86.634,87.156,87.651,88.118,88.559,88.976,89.37,..
